Country,stat_date(季度),Daily Orders,# of 5+ Restaurants,New Rs Acquired 2024,B Cancel Rate,Imperfect Items Rate,Daily Orders CDMX,Daily Orders MTY,Daily Orders GDL,Daily Orders BOG,Daily Orders MED
MX,2024-Q2,110085.37,7150,3020,2.00%,2.02%,19364,8746,12787,0,0
CO,2024-Q2,15346.12,831,661,1.86%,2.72%,0,0,0,5415,5148
PE,2024-Q2,2223.43,116,134,2.45%,2.46%,0,0,0,0,0
CR,2024-Q2,2233.62,124,70,2.16%,2.26%,0,0,0,0,0
MX,2024-Q1,101999.54,6757,2541,2.11%,2.07%,17982,7754,11065,0,0
CO,2024-Q1,12805.05,711,777,2.36%,2.88%,0,0,0,4432,4060
PE,2024-Q1,2370.01,124,481,2.73%,2.68%,0,0,0,0,0
CR,2024-Q1,2161.89,129,95,2.59%,2.46%,0,0,0,0,0
MX,2023-Q4,96004.87,6545,0,2.41%,1.91%,15614,7241,10115,0,0
CO,2023-Q4,12342.34,686,0,2.81%,2.82%,0,0,0,4413,3786
PE,2023-Q4,3243.00,166,0,2.60%,2.32%,0,0,0,0,0
CR,2023-Q4,1978.80,120,0,3.18%,2.53%,0,0,0,0,0
MX,2023-Q3,87029.04,5930,0,2.71%,1.90%,12681,7673,9243,0,0
CO,2023-Q3,10080.08,570,0,2.89%,2.73%,0,0,0,3654,3018
PE,2023-Q3,2082.50,103,0,2.97%,2.42%,0,0,0,0,0
CR,2023-Q3,1611.51,94,0,3.25%,2.50%,0,0,0,0,0
MX,2023-Q2,86935.57,6050,0,2.79%,1.96%,11673,7196,9132,0,0
CO,2023-Q2,10053.30,571,0,3.07%,3.12%,0,0,0,3524,2947
PE,2023-Q2,2134.27,107,0,3.46%,2.59%,0,0,0,0,0
CR,2023-Q2,2044.60,127,0,2.98%,2.64%,0,0,0,0,0
