Metric,CO  - Baseline,CO  - Target,CR  - Baseline,CR  - Target,PE  - Baseline,PE  - Target
Daily Orders SME,248,381,0,0,0,0
SME Daily Orders for Rs FO in current year,94,162,0,0,0,0
SME Total Rs Acquired (By BDs),379,307,0,0,0,0
SME # of R1s  (5+ Daily Orders),14,26,0,0,0,0
Daily Orders CKA,9778,14547,2480,2200,1270,1290
Daily Orders of CKA Rs acquired in 2024,2427,3523,435,142,722,651
CKA # of R1s  (5+ Daily Orders),634,893,101,124,47,93
Promotional Coverage,TBD,TBD,TBD,TBD,TBD,TBD
Promotion quality,TBD,TBD,TBD,TBD,TBD,TBD
CKAs B cancellation rate,1.33%,1.06%,1.78%,1.76%,1.76%,1.51%
CKAs imperfect orders,2.29%,1.79%,2.29%,1.18%,2.76%,2.41%
CKA Total Rs Acquired (By BDs),TBD,593,TBD,118,TBD,425
